Julian_Day,Season,Sediment_Yield_tons_ha_day
1,Dry,0.0028393414894540944
2,Dry,0.0028583142119106703
3,Dry,0.002818535368176179
4,Dry,0.002749594240663772
5,Dry,0.00276763090058933
6,Dry,0.0027990664252481394
7,Dry,0.0025985100157258066
8,Dry,0.0026700790706575685
9,Dry,0.002574245500961539
10,Dry,0.002462484057599256
11,Dry,0.0025254578090880895
12,Dry,0.0026156111407258068
13,Dry,0.0024610114504652605
14,Dry,0.0025798205495657566
15,Dry,0.0025785219014888335
16,Dry,0.0025700359178970223
17,Dry,0.0025661877822580645
18,Dry,0.0023183587828473945
19,Dry,0.0025181498252791566
20,Dry,0.002410743516253102
21,Dry,0.00227475998514268
22,Dry,0.0023717332881513647
23,Dry,0.0023338041839330026
24,Dry,0.0025662362390508685
25,Dry,0.002000021464205955
26,Dry,0.0022045087152915634
27,Dry,0.0022896638745967747
28,Dry,0.0020818712582196027
29,Dry,0.002042409512903226
30,Dry,0.0021189212662220845
31,Dry,0.0019888510843362284
32,Dry,0.0018672278281637719
33,Dry,0.0016125391814516131
34,Dry,0.0017650599931451614
35,Dry,0.0016002648700682383
36,Dry,0.0015430709157878413
37,Dry,0.0016163963881358561
38,Dry,0.0017221193304900746
39,Dry,0.0014741837773883377
40,Dry,0.00147522601674938
41,Dry,0.0013309625621277918
42,Dry,0.0014649743411910671
43,Dry,0.0013962160138957817
44,Dry,0.0014956448077853598
45,Dry,0.001488448487903226
46,Dry,0.001370484137903226
47,Dry,0.0014310949254342433
48,Dry,0.001308733971308933
49,Dry,0.0014738408941377173
50,Dry,0.0014476896019540943
51,Dry,0.0015189392143920594
52,Dry,0.0014333403615074444
53,Dry,0.001405873085638958
54,Dry,0.0012068426241625312
55,Dry,0.0012713468008064516
56,Dry,0.0012458796847704715
57,Dry,0.001238277334801489
58,Dry,0.0012327984234491315
59,Dry,0.0011499230473325061
60,Dry,0.0014404443805831266
61,Dry,0.0012399345284739454
62,Dry,0.0013726979101116627
63,Dry,0.0011830830956575682
64,Dry,0.0012772852565136477
65,Dry,0.0012871137548076924
66,Dry,0.001156895029373449
67,Dry,0.00104851319292804
68,Dry,0.001160051768207196
69,Dry,0.001111922678691067
70,Dry,0.0012942229821029778
71,Dry,0.0014885152752171218
72,Dry,0.0014922205352977669
73,Dry,0.0011824415123449132
74,Dry,0.0011034061844292804
75,Dry,0.0011725027369727048
76,Dry,0.0014325940334367249
77,Dry,0.0013970662500930521
78,Dry,0.0011459358348945411
79,Dry,0.0012888282162841192
80,Dry,0.001244894750899504
81,Dry,0.0011497315265508684
82,Dry,0.000981139498325062
83,Dry,0.001010076894044665
84,Dry,0.0010769353819168736
85,Dry,0.0012383217742555832
86,Dry,0.0011632658200682383
87,Dry,0.0010574641778225808
88,Dry,0.0012173365384615384
89,Dry,0.0011045412823511168
90,Dry,0.0011075361292183625
91,Dry,0.0010460460193548388
92,Dry,0.0010590502879652608
93,Dry,0.00092892458691067
94,Dry,0.0010914362938585608
95,Dry,0.0010624131471774195
96,Dry,0.0009329828753411911
97,Dry,0.0009322844086228288
98,Dry,0.0010471817805521092
99,Dry,0.0011653719984491316
100,Dry,0.0012940463473325062
101,Dry,0.0016149993981699753
102,Dry,0.0017987932923387098
103,Dry,0.0016625838631823822
104,Dry,0.0015535763092741934
105,Dry,0.0014722936082196033
106,Dry,0.0013879925893920597
107,Dry,0.001191073816004963
108,Dry,0.001433010389516129
109,Dry,0.0011873129839950372
110,Dry,0.0012076117071029777
111,Dry,0.001477209195223325
112,Dry,0.0015260869870347396
113,Dry,0.001591376964174938
114,Dry,0.0013787302871277915
115,Dry,0.0015409118788771714
116,Dry,0.0018297351441066997
117,Dry,0.001975881313585608
118,Dry,0.0017863816980148884
119,Dry,0.0018859865500775437
120,Dry,0.0022922372476116624
121,Dry,0.002871389255024814
122,Dry,0.0058752009002791565
123,Dry,0.004044402231699752
124,Dry,0.002778263462065757
125,Dry,0.002639994329032258
