Julian_Day,Season,Sediment_Yield_tons_ha_day
1,Dry,0.0024394324884970094
2,Dry,0.002316700737592568
3,Dry,0.0022384976908863493
4,Dry,0.002211720221754794
5,Dry,0.002221477260670912
6,Dry,0.0021340204086030866
7,Dry,0.002052622484580986
8,Dry,0.0020454027747277867
9,Dry,0.002015191183142351
10,Dry,0.001977001671524278
11,Dry,0.0019748583779129704
12,Dry,0.00191648286113164
13,Dry,0.0019259178055647688
14,Dry,0.0019268573501534962
15,Dry,0.0018744075144984215
16,Dry,0.0018343294895619337
17,Dry,0.0018215764210616694
18,Dry,0.0017917283814428916
19,Dry,0.001715690517526345
20,Dry,0.001713503486521313
21,Dry,0.001719850802766568
22,Dry,0.0016761613622899572
23,Dry,0.0016218600619262236
24,Dry,0.0016190530309860764
25,Dry,0.0015751234286818976
26,Dry,0.001548855182634083
27,Dry,0.0015317791102732023
28,Dry,0.0015310872385719332
29,Dry,0.0015234344455676801
30,Dry,0.0014944858016504034
31,Dry,0.001504900972329659
32,Dry,0.0013632657404444985
33,Dry,0.00134646329724675
34,Dry,0.0013501698125306413
35,Dry,0.0013212203683251472
36,Dry,0.0012923100441567332
37,Dry,0.0012619275171323267
38,Dry,0.001243715583504704
39,Dry,0.0012322301300066519
40,Dry,0.0012070896407250277
41,Dry,0.0011929179786761943
42,Dry,0.0011775862234759695
43,Dry,0.0011581151890311236
44,Dry,0.0011640111563269663
45,Dry,0.0011428603755052821
46,Dry,0.0011171651342620661
47,Dry,0.0011285077588777863
48,Dry,0.0011351180049632666
49,Dry,0.0010861600499150774
50,Dry,0.0010921342011258656
51,Dry,0.001070980426168868
52,Dry,0.0010557260829185523
53,Dry,0.0010523837327405115
54,Dry,0.0010447651382018822
55,Dry,0.0010427352417650107
56,Dry,0.0010264094087552166
57,Dry,0.0010064660846207595
58,Dry,0.0009983340050478075
59,Dry,0.0009933192275615181
60,Dry,0.0010883487522289667
61,Dry,0.0011250885393375828
62,Dry,0.0010974005833272898
63,Dry,0.0011592148782535172
64,Dry,0.001224631260741813
65,Dry,0.0013915677490365797
66,Dry,0.0012902383712560402
67,Dry,0.0011491516182599516
68,Dry,0.0010926856290109344
69,Dry,0.0010591891279799106
70,Dry,0.0010138600844771524
71,Dry,0.0011644012802065314
72,Dry,0.0012606487024194308
73,Dry,0.0013454608495715424
74,Dry,0.0012469267722730174
75,Dry,0.001202412636155233
76,Dry,0.0011853708086922185
77,Dry,0.0011887924877329616
78,Dry,0.0012146249246957818
79,Dry,0.0012052284568234073
80,Dry,0.0011488622185783356
81,Dry,0.0011123107374310342
82,Dry,0.001078438217884303
83,Dry,0.0010582243594968834
84,Dry,0.0011050011541946635
85,Dry,0.0013133611839073703
86,Dry,0.0012769861822561298
87,Dry,0.0013382145391716755
88,Dry,0.0012311144779243975
89,Dry,0.0011678310148937035
90,Dry,0.001145028762980349
91,Dry,0.0011036210830634575
92,Dry,0.001087732736347668
93,Dry,0.0010830183512802536
94,Dry,0.00105513657865746
